title,price,rating,availability,category,source
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,Four,In stock,Science Fiction,Books to Scrape
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction,Books to Scrape
Tracing Numbers on a Train,£41.60,Three,In stock,Default,Books to Scrape
Throne of Glass (Throne of Glass #1),£35.07,Three,In stock,Fantasy,Books to Scrape
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,One,In stock,History,Books to Scrape
Thirteen Reasons Why,£52.72,One,In stock,Default,Books to Scrape
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,Four,In stock,Childrens,Books to Scrape
The Wedding Dress,£24.12,One,In stock,Romance,Books to Scrape
The Vacationers,£42.15,Four,In stock,Fiction,Books to Scrape
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,Five,In stock,Business,Books to Scrape
The Stranger,£17.44,Four,In stock,Philosophy,Books to Scrape
The Shadow Hero (The Shadow Hero),£33.14,One,In stock,Sequential Art,Books to Scrape
The Secret (The Secret #1),£27.37,Four,In stock,Default,Books to Scrape
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction,Books to Scrape
The Psychopath Test: A Journey Through the Madness Industry,£36.00,Two,In stock,Default,Books to Scrape
The Project,£10.65,One,In stock,Science Fiction,Books to Scrape
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,Two,In stock,Nonfiction,Books to Scrape
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,Two,In stock,Nonfiction,Books to Scrape
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,Five,In stock,Food and Drink,Books to Scrape
The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,Four,In stock,Mystery,Books to Scrape
The Mistake (Off-Campus #2),£43.29,Three,In stock,New Adult,Books to Scrape
The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,One,In stock,New Adult,Books to Scrape
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,Two,In stock,Food and Drink,Books to Scrape
The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,One,In stock,Crime,Books to Scrape
The Kite Runner,£41.82,Four,In stock,Default,Books to Scrape
The House by the Lake,£36.95,One,In stock,Historical Fiction,Books to Scrape
The Glittering Court (The Glittering Court #1),£44.28,One,In stock,Fantasy,Books to Scrape
The Girl on the Train,£55.02,Two,In stock,Default,Books to Scrape
The Genius of Birds,£17.24,One,In stock,Nonfiction,Books to Scrape
The Emerald Mystery,£23.15,Two,In stock,Default,Books to Scrape
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,One,In stock,Food and Drink,Books to Scrape
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,Three,In stock,Default,Books to Scrape
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,Five,In stock,Nonfiction,Books to Scrape
The Art of War,£33.34,Five,In stock,Default,Books to Scrape
The Argonauts,£10.93,Two,In stock,Autobiography,Books to Scrape
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,Three,In stock,Business,Books to Scrape
Suddenly in Love (Lake Haven #1),£55.99,Two,In stock,Romance,Books to Scrape
Something More Than This,£16.24,Four,In stock,Romance,Books to Scrape
Soft Apocalypse,£26.12,Two,In stock,Science Fiction,Books to Scrape
So You've Been Publicly Shamed,£12.23,Two,In stock,Nonfiction,Books to Scrape
Shoe Dog: A Memoir by the Creator of NIKE,£23.99,Two,In stock,Business,Books to Scrape
"Shobu Samurai, Project Aryoku (#3)",£29.06,Three,In stock,Add a comment,Books to Scrape
Secrets and Lace (Fatal Hearts #1),£20.27,One,In stock,Default,Books to Scrape
Scarlett Epstein Hates It Here,£43.55,Five,In stock,Young Adult,Books to Scrape
Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,One,In stock,Default,Books to Scrape
Redeeming Love,£20.47,Five,In stock,Christian Fiction,Books to Scrape
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,One,In stock,Default,Books to Scrape
Poems That Make Grown Women Cry,£14.19,Four,In stock,Poetry,Books to Scrape
"Nightingale, Sing",£38.28,One,In stock,Young Adult,Books to Scrape
Night Sky with Exit Wounds,£41.05,One,In stock,Poetry,Books to Scrape
Mrs. Houdini,£30.25,Five,In stock,Historical Fiction,Books to Scrape
Modern Romance,£28.26,Five,In stock,Add a comment,Books to Scrape
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),£10.76,One,In stock,Default,Books to Scrape
Louisa: The Extraordinary Life of Mrs. Adams,£16.85,Two,In stock,Biography,Books to Scrape
Little Red,£13.47,Three,In stock,Childrens,Books to Scrape
Library of Souls (Miss Peregrine’s Peculiar Children #3),£48.56,Five,In stock,Young Adult,Books to Scrape
Large Print Heart of the Pride,£19.15,Two,In stock,Default,Books to Scrape
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,Four,In stock,Womens Fiction,Books to Scrape
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,One,In stock,Fantasy,Books to Scrape
Grumbles,£22.16,Two,In stock,Default,Books to Scrape
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel,Books to Scrape
Frostbite (Vampire Academy #2),£29.99,Five,In stock,Young Adult,Books to Scrape
Follow You Home,£21.36,One,In stock,Horror,Books to Scrape
First Steps for New Christians (Print Edition),£29.00,One,In stock,Default,Books to Scrape
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock,Fiction,Books to Scrape
"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,Four,In stock,Sequential Art,Books to Scrape
Eureka Trivia 6.0,£54.59,Four,In stock,Default,Books to Scrape
Drive: The Surprising Truth About What Motivates Us,£34.95,Four,In stock,Default,Books to Scrape
Done Rubbed Out (Reightman & Bailey #1),£37.72,Five,In stock,Default,Books to Scrape
Doing It Over (Most Likely To #1),£35.61,Three,In stock,Romance,Books to Scrape
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,Three,In stock,Food and Drink,Books to Scrape
Dark Notes,£19.19,Five,In stock,Erotica,Books to Scrape
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,Three,In stock,Nonfiction,Books to Scrape
Close to You,£49.46,Four,In stock,Christian Fiction,Books to Scrape
Chasing Heaven: What Dying Taught Me About Living,£37.80,Two,In stock,Spirituality,Books to Scrape
Big Magic: Creative Living Beyond Fear,£30.80,Three,In stock,Nonfiction,Books to Scrape
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,Two,In stock,Nonfiction,Books to Scrape
Beauty Restored (Riley Family Legacy Novellas #3),£11.11,Two,In stock,Default,Books to Scrape
Batman: The Long Halloween (Batman),£36.50,Two,In stock,Sequential Art,Books to Scrape
Batman: The Dark Knight Returns (Batman),£15.38,Five,In stock,Sequential Art,Books to Scrape
Ayumi's Violin,£15.48,Two,In stock,Default,Books to Scrape
Anonymous,£46.82,Four,In stock,Default,Books to Scrape
Amy Meets the Saints and Sages,£18.46,Three,In stock,Default,Books to Scrape
Amid the Chaos,£36.58,One,In stock,Cultural,Books to Scrape
Amatus,£50.54,Five,In stock,Default,Books to Scrape
Agnostic: A Spirited Manifesto,£12.51,Five,In stock,Nonfiction,Books to Scrape
Zealot: The Life and Times of Jesus of Nazareth,£24.70,Three,In stock,History,Books to Scrape
You (You #1),£43.61,Five,In stock,Thriller,Books to Scrape
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",£37.34,Four,In stock,Sequential Art,Books to Scrape
Wild Swans,£14.36,Two,In stock,Young Adult,Books to Scrape
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,£52.65,Four,In stock,Politics,Books to Scrape
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,Four,In stock,Nonfiction,Books to Scrape
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,Two,In stock,Nonfiction,Books to Scrape
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",£53.90,One,In stock,Sequential Art,Books to Scrape
Walt Disney's Alice in Wonderland,£12.96,Five,In stock,Childrens,Books to Scrape
V for Vendetta (V for Vendetta Complete),£37.10,Four,In stock,Default,Books to Scrape
Until Friday Night (The Field Party #1),£46.31,Two,In stock,Young Adult,Books to Scrape
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",£45.95,Two,In stock,Default,Books to Scrape
Twenty Yawns,£22.08,Two,In stock,Childrens,Books to Scrape
Through the Woods,£25.38,Two,In stock,Sequential Art,Books to Scrape
This Is Where It Ends,£27.12,Two,In stock,Young Adult,Books to Scrape
The Year of Magical Thinking,£43.04,Two,In stock,Nonfiction,Books to Scrape
The Wright Brothers,£56.80,Four,In stock,Default,Books to Scrape
The White Queen (The Cousins' War #1),£25.91,Five,In stock,Add a comment,Books to Scrape
The Wedding Pact (The O'Malleys #2),£32.61,Three,In stock,Romance,Books to Scrape
The Time Keeper,£27.88,Five,In stock,Fiction,Books to Scrape
The Testament of Mary,£52.67,Four,In stock,Fiction,Books to Scrape
The Star-Touched Queen,£46.02,Five,In stock,Fantasy,Books to Scrape
The Songs of the Gods,£44.48,Five,In stock,Default,Books to Scrape
The Song of Achilles,£37.40,Five,In stock,Add a comment,Books to Scrape
The Rosie Project (Don Tillman #1),£54.04,One,In stock,Default,Books to Scrape
The Power of Habit: Why We Do What We Do in Life and Business,£16.88,Three,In stock,Default,Books to Scrape
The Marriage of Opposites,£28.08,Four,In stock,Historical Fiction,Books to Scrape
The Lucifer Effect: Understanding How Good People Turn Evil,£10.40,One,In stock,Psychology,Books to Scrape
The Long Haul (Diary of a Wimpy Kid #9),£44.07,One,In stock,Humor,Books to Scrape
The Loney,£23.40,One,In stock,Horror,Books to Scrape
The Literature Book (Big Ideas Simply Explained),£17.43,Three,In stock,Nonfiction,Books to Scrape
The Last Mile (Amos Decker #2),£54.21,Two,In stock,Mystery,Books to Scrape
The Immortal Life of Henrietta Lacks,£40.67,Two,In stock,Add a comment,Books to Scrape
The Hidden Oracle (The Trials of Apollo #1),£52.26,Two,In stock,Fantasy,Books to Scrape
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,£28.77,Three,In stock,Food and Drink,Books to Scrape
The Guilty (Will Robie #4),£13.82,Two,In stock,Thriller,Books to Scrape
The First Hostage (J.B. Collins #2),£25.85,Three,In stock,Fiction,Books to Scrape
The Dovekeepers,£48.78,One,In stock,Add a comment,Books to Scrape
The Darkest Lie,£35.35,Five,In stock,Young Adult,Books to Scrape
The Bane Chronicles (The Bane Chronicles #1-11),£44.73,Four,In stock,Fantasy,Books to Scrape
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,£15.77,One,In stock,Nonfiction,Books to Scrape
The 14th Colony (Cotton Malone #11),£39.24,One,In stock,Thriller,Books to Scrape
That Darkness (Gardiner and Renner #1),£13.92,One,In stock,Mystery,Books to Scrape
Tastes Like Fear (DI Marnie Rome #3),£10.69,One,In stock,Mystery,Books to Scrape
Take Me with You,£45.21,Three,In stock,Fiction,Books to Scrape
Swell: A Year of Waves,£45.58,One,In stock,Nonfiction,Books to Scrape
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),£11.89,Five,In stock,Sequential Art,Books to Scrape
Still Life with Bread Crumbs,£26.41,Three,In stock,Fiction,Books to Scrape
Steve Jobs,£39.50,Five,In stock,Default,Books to Scrape
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,£44.74,Four,In stock,Science,Books to Scrape
Someone Like You (The Harrisons #2),£52.79,Five,In stock,Contemporary,Books to Scrape
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",£35.43,Four,In stock,Sequential Art,Books to Scrape
Shtum,£55.84,Four,In stock,Fiction,Books to Scrape
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel,Books to Scrape
salt.,£46.78,Four,In stock,Poetry,Books to Scrape
Robin War,£47.82,Three,In stock,Sequential Art,Books to Scrape
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",£25.48,Two,In stock,Sequential Art,Books to Scrape
Rain Fish,£23.57,Three,In stock,Childrens,Books to Scrape
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",£50.89,Five,In stock,Poetry,Books to Scrape
Pet Sematary,£10.56,Three,In stock,Horror,Books to Scrape
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",£52.15,Three,In stock,Self Help,Books to Scrape
Once Was a Time,£18.28,Two,In stock,Childrens,Books to Scrape
Old School (Diary of a Wimpy Kid #10),£11.83,Five,In stock,Humor,Books to Scrape
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,Two,In stock,Nonfiction,Books to Scrape
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",£38.39,Two,In stock,Sequential Art,Books to Scrape
My Name Is Lucy Barton,£41.56,One,In stock,Fiction,Books to Scrape
My Mrs. Brown,£24.48,Three,In stock,Fiction,Books to Scrape
My Kind of Crazy,£40.36,One,In stock,Young Adult,Books to Scrape
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,In stock,Fiction,Books to Scrape
More Than Music (Chasing the Dream #1),£37.61,Two,In stock,Add a comment,Books to Scrape
Made to Stick: Why Some Ideas Survive and Others Die,£38.85,Five,In stock,Business,Books to Scrape
Luis Paints the World,£53.95,Three,In stock,Childrens,Books to Scrape
Luckiest Girl Alive,£49.83,Three,In stock,Default,Books to Scrape
Lowriders to the Center of the Earth (Lowriders in Space #2),£51.51,Two,In stock,Sequential Art,Books to Scrape
Love Is a Mix Tape (Music #1),£18.03,One,In stock,Music,Books to Scrape
Looking for Lovely: Collecting the Moments that Matter,£29.14,Five,In stock,Nonfiction,Books to Scrape
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",£46.91,Four,In stock,Default,Books to Scrape
Let It Out: A Journey Through Journaling,£26.79,Five,In stock,Nonfiction,Books to Scrape
Lady Midnight (The Dark Artifices #1),£16.28,Five,In stock,Default,Books to Scrape
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",£19.55,One,In stock,Food and Drink,Books to Scrape
Island of Dragons (Unwanteds #7),£29.65,One,In stock,Fantasy,Books to Scrape
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,£25.98,Four,In stock,Humor,Books to Scrape
I Am Pilgrim (Pilgrim #1),£10.60,Four,In stock,Fiction,Books to Scrape
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",£14.75,Five,In stock,Humor,Books to Scrape
"Hush, Hush (Hush, Hush #1)",£47.02,Three,In stock,Default,Books to Scrape
Hold Your Breath (Search and Rescue #1),£28.82,One,In stock,Romance,Books to Scrape
Hamilton: The Revolution,£58.79,Three,In stock,Nonfiction,Books to Scrape
Greek Mythic History,£10.23,Five,In stock,Default,Books to Scrape
